pm10	no2	so2	soot
36.29	19.94	8.67	14.19
31.57	17.99	9.28	13.69
36.94	18.82	11.34	15.75
21.3	16.32	10.01	18.56
33.65	22.18	14.45	23
33.63	19.81	12.94	28.47
29.8	20.98	12.34	27.18
13.6	20.31	7.59	21.12
27.28	19.27	9.12	17.71
62.9	25.16	16.53	32.27
45.36	18.36	10.81	12.31
151.27	18.13	10.83	13.5
40.91	16.56	11.48	12.27
30.5	15.68	10.35	12.67
39.24	15.82	14.69	13.81
61.67	19.76	19.93	22.63
42.47	15.87	22.86	16.69
23.36	11.82	10.83	13.56
28.87	10.89	9.84	13.41
42.08	16.31	16.74	23.94
58.3	20.05	16.07	26.25
49.87	18.53	13.45	26.75
38.3	18.76	11.49	21.38
26.89	16.44	10.96	19.19
30.56	16.06	11.86	18.56
42.81	17.51	14.18	24.33
74.89	30.92	22.55	37
82.29	37.81	29.43	44.86
51.54	32.02	20.19	29.43
52.06	24.14	12.77	25.86
38.07	20.37	8.05	15.36
34.6	14.78	8.71	13.07
43.27	20.02	23.85	15.64
42.71	18.69	12.45	15.2
32.49	13.49	7.93	11.2
22	14.57	7.89	10.07
14.4	15.22	5.84	11.07
21.23	19.22	12.42	16.33
23.1	21.51	9.84	15.4
21.83	19.39	9.54	12.69
26.98	20.82	8.01	13.81
23.8	15.54	9.48	15.44
23.1	15.62	8.2	13.81
25.17	15.69	8.57	16.13
14.15	14.82	6.63	13.63
12.2	15.75	5.94	12.2
31.18	18.19	7.86	14.88
48.78	24.32	12.16	22.94
55.87	28.58	12.44	26.35
34.8	20.21	9.26	17
23.52	16.91	7.96	13.12
16.6	18.73	8.07	14.94
22.12	16.37	8.53	12.81
16.82	17.65	8.36	14.56
30.07	21.95	8.71	16.5
44.97	24.81	10.62	20.69
38.68	24.52	10.09	17.94
27.5	17.77	7.63	13.5
26	20.13	7.75	15.94
31.73	21.16	8.23	17
40.96	26.96	9.33	23.94
27.58	21.82	8.27	17.88
28.74	18.28	8.93	17.94
33	19.11	9.21	19.12
36.78	19.53	9.34	17.88
24.98	13.12	6.99	14.12
22.26	12.85	6.93	13.24
23.05	22.1	9.19	16.18
35.45	24.65	7.41	21.59
42.88	33.76	13.69	24.65
45.22	32.97	9.09	30.18
34.8	24.96	7.88	23.32
44.07	22.03	7.81	25.53
35.73	16.83	7.69	21.74
29.15	18.86	5.4	19.68
21.12	16.42	7	16.76
17.62	18.41	6.85	18.63
18.53	16.58	5.26	21.54
20.45	20.99	7.51	20.04
32.54	24.46	8.22	25.07
30.16	22.8	6.64	28.47
24.58	21.79	5.84	21.2
21.56	22.78	8.91	23.8
20.73	22.31	5.73	26.14
12.32	15.82	7.96	21.82
7.1	10.19	7.66	10.55
10.62	13.22	5.36	12.37
16.18	15.18	5.64	13.26
19.2	18.5	5.96	17.64
16.5	15.39	5.85	17.79
22.63	16.57	5.12	16.04
18.17	15.54	5.89	14.13
21.23	18.04	5.99	15.27
31.15	22.55	9.9	16.74
27.9	24.05	9.5	17.54
28.37	27.23	8.41	19.62
23.52	26.43	8.35	17.95
17.2	23.54	6.61	14.72
30.65	21.14	6.37	18.61
12.13	20.12	5.83	14.88
7.13	21.14	5.89	16.88
10.36	14.02	6.79	13.13
8.86	17.14	6.86	13.5
17.82	22.4	7.32	14.88
12.5	17.43	7.09	12.41
15.56	16.48	5.54	14
26.22	22.38	5.91	15.71
29.82	23.71	6.27	12.27
41.6	30.59	7.2	16.07
35.4	30.69	7.18	16.79
40.12	22.67	5.94	18
32.94	22.69	5.14	18.38
48.4	24.46	5.81	20.69
48.13	20.94	5.61	16.62
47.75	23.59	5.67	16
26.04	18.48	4.74	13.6
35.76	21.98	5.21	18.33
22.45	21.83	4.01	12.87
26.43	17.86	4.09	13.06
18.43	20.13	5.33	14.31
19.55	19.97	5.04	12.25
17.68	18.68	4.99	13.06
8.22	15.27	5.02	12.88
15.54	18.46	4.98	12.24
16.78	20.03	5.42	14
17.72	21.73	5.19	16.71
13.26	15.79	4.79	13.88
15.02	15.18	4.76	13.5
17.12	16.98	4.98	14
21.6	19.69	5.36	14.44
21.6	21.65	5.06	15
23.22	22.99	5.48	11.76
30.82	28.47	5.23	12.88
27.72	22.21	5.76	12.18
15.54	21.22	5.74	10.59
19.14	28.79	5.68	12.71
23.57	22.73	5.37	11.13
17.5	18.73	5.28	12.24
18.64	20.68	5.89	12.53
23.2	22.46	6.75	15.53
25.48	19.61	6.4	13.82
25.78	19.58	6.04	13.88
27.98	21.84	6.11	14.94
33.4	22.88	5.95	13.87
35.3	25.78	5.49	11.2
42.55	26.35	5.67	12.06
47.03	27.84	6.28	14.24
35.38	22.33	5.98	9.47
23.54	16.43	5.78	9
18.32	15.13	6.36	9.71
29.86	17.68	5.63	13.41
51.34	24.19	6.13	20.36
54.06	24.22	6.67	22.21
72.98	30.59	12.81	25.33
30.52	16.33	7.41	11.6
7.06	11.91	5.84	9.87
11.92	13.96	6.09	10.79
14.34	15.33	6.43	10.64
19.3	16.68	6.99	10.81
19.24	19.49	8.99	11.19
16.74	17.74	6.69	11.69
20.6	14.35	6.22	9.88
17	14.18	6.98	8.31
31.16	19.23	6.73	8.94
38.32	21.79	6.79	13.94
12.68	17.7	6.24	9.47
27.78	19.27	8.04	10
33.52	19.44	7.54	9.88
12.86	14.87	6.69	9.63
13.7	14.84	6.61	10.56
15.32	20.61	7.25	10.13
21.86	20.99	7.18	10
26.48	21.84	7.98	13.47
38.94	26.01	8.51	14.31
74.18	25.43	4.68	10.5
39.48	20.26	7.55	11.06
79.08	19.89	6.19	10.44
39.26	22.52	6.36	10.56
22.3	23.23	6.64	10.06
23.42	23.37	6.19	12.13
34.96	26.6	7.93	13.63
25.38	24.84	6.69	12.31
28.07	22	6.85	12.06
37.05	29.27	8.29	11.38
35.43	29.7	8.19	11.38
37.8	30.49	8.89	14.06
26.62	23.31	6.51	11.53
30.18	25.54	7.33	12.35
33.64	26.69	8.13	11.81
25.16	21.44	6.38	10.63
24.08	19.89	6.21	10.31
20.68	23.88	7.66	9.94
7.82	22.68	6.39	10.63
10.46	17.71	6.24	12.06
20.77	22.65	6.88	15.19
28.26	27.39	8.68	15.25
25.62	23.95	9.16	11.13
25.1	23.92	7.52	13.06
23.1	21.77	7.61	13.19
32.58	22.97	8.36	15.4
37.48	30.31	8.38	24.5
20.8	21.01	8.18	15.47
30.78	20.94	7.71	20.82
20.6	18.64	7.69	15.65
29.68	18.67	9.34	16.12
30.86	21.36	6.99	20.12
36.12	20.79	5.64	20.76
40.74	23.25	7.02	21.53
43.02	29.77	8.66	30.81
44.54	37.15	16.54	32.75
19.37	20.42	6.77	19.38
11.66	16.44	5.34	19.25
20.98	27.22	5.96	28.44
29.15	33.58	9.23	37.75
38.2	34.85	7.55	36.81
36.65	32.02	14.21	23.25
28.52	21.53	8.46	13
26.7	15.45	7.99	12.5
12.3	16.58	6.67	11.06
19.24	24.51	9.64	17.94
24.53	23.47	7.57	16.06
14.28	18.38	6.9	14.4
21.2	21.74	6.81	16.29
34.25	26.47	13.36	14.69
32.8	22.54	10.24	12.06
32.48	16.49	8.07	11.19
19.37	13.61	7.03	10.06
16.04	12.84	7.15	9.8
9.04	13.5	8.68	9.13
26.9	13.99	14.53	11.29
44.98	27.07	12.57	20.94
41.05	24.59	15.4	16.76
66.5	29.19	15.86	20.94
103.74	53.88	25.86	27.88
116.82	43.74	27.52	28.94
82.14	40.73	24.91	22.71
41.64	24.93	23.12	11.35
47.22	29.96	14.2	13.35
66.22	28.72	12.38	12.53
48.3	25.07	12.14	11.24
28.68	24.3	13.76	11.94
20.52	17.99	10.09	11.53
18.45	19.59	9.29	11.82
35.68	31.76	11.71	12.31
36.68	26.34	14.56	12.2
66.08	35.79	18.82	12
56.34	26.02	15.67	11.93
36.26	25.09	14.62	13.4
14.7	19.51	8.62	11.33
18.42	20.07	8.81	12.6
48.2	28.29	15.59	17.81
69.7	35.2	27.03	28.5
62.98	30.16	24.7	19.88
41.33	27.41	18.26	15.94
46.65	28.46	14.65	12.19
48.37	28.7	11.88	12.41
92.58	47.13	16.49	33.82
135.4	71.31	24.53	59.59
122.2	83.58	27.89	79.41
106.17	69.17	23.46	65.82
82.4	42.27	15.25	31.59
26.15	35.16	9.62	10.76
14.48	31.29	7.72	11
20.35	47.46	8.95	9.65
40.57	54.23	11.32	18.24
71.15	72.17	26.48	42.06
84.4	64.94	14.33	52.47
101.47	79.61	15.29	68.06
110.98	97.06	16.33	69.12
69.6	51.65	13.03	35
56.27	32.67	10.09	16.18
33.96	43.19	11.89	30.12
29.39	40.4	9.29	16.59
54.83	48.34	14.21	18.47
33.7	28.24	11.66	13.76
22.51	30.71	9.08	13.76
29.81	47.41	11.88	20.41
36.97	44.19	13.66	19.18
48.61	44.46	19.97	21.41
37	31.92	15.37	18.06
51.7	31.79	14.85	18.88
40.97	24.76	16.99	15.06
47.04	38.46	14.69	18.29
34.91	33.31	11.37	18.24
33.53	18.3	10.62	9
56.63	29.23	17.36	10.44
45.21	27.61	18.29	10
36.67	21.54	7.72	9.18
44.53	20.73	11.09	9
33.97	23.59	15.34	11
74.8	40.84	17.46	23.41
40	39.62	19.98	19.24
21.4	26.83	11.51	14.18
19.48	20.67	9.85	9.87
22.2	23.19	11.62	13.53
26.08	25.05	11.48	9.2
22.8	22.51	11.14	10.12
24.25	21.87	9.44	9.31
37.82	34.96	11.03	11.25
59.74	36.4	23.99	13.25
102.26	38.68	33.31	16
65.96	29.32	21.54	13.8
